number,pokemon_name,type_main,type_sub,height,weight,generation,bmi,description_main,description_sub,category,ability_main,ability_sub,weaknesses,hp,attack,defense,sp.atk,sp.def,speed,total,evolutions,evolution_type,hidden_ability,evolution_list_index
12,Butterfree,Bug,Flying,1.1,32.0,1.0,26.4,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,Butterfly,Compound Eyes,,"['Fire', 'Flying', 'Electric', 'Ice']",60.0,45.0,50.0,90.0,80.0,70.0,395.0,"['Caterpie', 'Metapod', 'Butterfree']",3 stages evolution,Tinted Lens,"['010', '011', '012']"
13,Weedle,Bug,Poison,0.3,3.2,1.0,35.6,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,Hairy Bug,Shield Dust,,"['Fire', 'Psychic', 'Flying', 'Rock']",40.0,35.0,30.0,20.0,20.0,50.0,195.0,"['Weedle', 'Kakuna', 'Beedrill']",3 stages evolution,Run Away,"['013', '014', '015']"
14,Kakuna,Bug,Poison,0.6,10.0,1.0,27.8,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.","Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",Cocoon,Shed Skin,,"['Fire', 'Psychic', 'Flying', 'Rock']",45.0,25.0,50.0,25.0,25.0,35.0,205.0,"['Weedle', 'Kakuna', 'Beedrill']",3 stages evolution,,"['013', '014', '015']"
15,Beedrill,Bug,Poison,1.0,29.5,1.0,29.5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Poison Bee,Swarm,,"['Fire', 'Psychic', 'Flying', 'Rock']",65.0,90.0,40.0,45.0,80.0,75.0,395.0,"['Weedle', 'Kakuna', 'Beedrill']",3 stages evolution,Sniper,"['013', '014', '015']"
16,Pidgey,Normal,Flying,0.3,1.8,1.0,20.0,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.","Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",Tiny Bird,Keen Eye,Tangled Feet,"['Electric', 'Ice', 'Rock']",40.0,45.0,40.0,35.0,35.0,56.0,251.0,"['Pidgey', 'Pidgeotto', 'Pidgeot']",3 stages evolution,Big Pecks,"['016', '017', '018']"
17,Pidgeotto,Normal,Flying,1.1,30.0,1.0,24.8,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,Bird,Keen Eye,Tangled Feet,"['Electric', 'Ice', 'Rock']",63.0,60.0,55.0,50.0,50.0,71.0,349.0,"['Pidgey', 'Pidgeotto', 'Pidgeot']",3 stages evolution,Big Pecks,"['016', '017', '018']"
18,Pidgeot,Normal,Flying,1.5,39.5,1.0,17.6,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.","This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",Bird,Keen Eye,Tangled Feet,"['Electric', 'Ice', 'Rock']",83.0,80.0,75.0,70.0,70.0,101.0,479.0,"['Pidgey', 'Pidgeotto', 'Pidgeot']",3 stages evolution,Big Pecks,"['016', '017', '018']"
19,Rattata,Normal,,0.3,3.5,1.0,38.9,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.","Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",Mouse,Run Away,Guts,['Fighting'],30.0,56.0,35.0,25.0,35.0,72.0,253.0,"['Rattata', 'Raticate']",2 stages evolution,Hustle,"['019', '020']"
20,Raticate,Normal,,0.7,18.5,1.0,37.8,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.","Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",Mouse,Run Away,Guts,['Fighting'],55.0,81.0,60.0,50.0,70.0,97.0,413.0,"['Rattata', 'Raticate']",2 stages evolution,Hustle,"['019', '020']"
21,Spearow,Normal,Flying,0.3,2.0,1.0,22.2,"Inept at flying high. However, it can fly around very fast to protect its territory.","Inept at flying high. However, it can fly around very fast to protect its territory.",Tiny Bird,Keen Eye,,"['Electric', 'Ice', 'Rock']",40.0,60.0,30.0,31.0,31.0,70.0,262.0,"['Spearow', 'Fearow']",2 stages evolution,Sniper,"['021', '022']"
22,Fearow,Normal,Flying,1.2,38.0,1.0,26.4,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.","A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",Beak,Keen Eye,,"['Electric', 'Ice', 'Rock']",65.0,90.0,65.0,61.0,61.0,100.0,442.0,"['Spearow', 'Fearow']",2 stages evolution,Sniper,"['021', '022']"
23,Ekans,Poison,,2.0,6.9,1.0,1.7,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.","The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",Snake,Shed Skin,Intimidate,"['Psychic', 'Ground']",35.0,60.0,44.0,40.0,54.0,55.0,288.0,"['Ekans', 'Arbok']",2 stages evolution,Unnerve,"['023', '024']"
24,Arbok,Poison,,3.5,65.0,1.0,5.3,The frightening patterns on its belly have been studied. Six variations have been confirmed.,The frightening patterns on its belly have been studied. Six variations have been confirmed.,Cobra,Shed Skin,Intimidate,"['Psychic', 'Ground']",60.0,95.0,69.0,65.0,79.0,80.0,448.0,"['Ekans', 'Arbok']",2 stages evolution,Unnerve,"['023', '024']"
25,Pikachu,Electric,,0.4,6.0,1.0,37.5,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting.",Mouse,Static,,['Ground'],35.0,55.0,40.0,50.0,50.0,90.0,320.0,"['Pichu', 'Pikachu', 'Raichu']",3 stages evolution,Lightning Rod,"['172', '025', '026']"
26,Raichu,Electric,,0.8,30.0,1.0,46.9,Its long tail serves as a ground to protect itself from its own high-voltage power.,"If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere.",Mouse,Static,,['Ground'],60.0,90.0,55.0,90.0,80.0,110.0,485.0,"['Pichu', 'Pikachu', 'Raichu']",3 stages evolution,Lightning Rod,"['172', '025', '026']"
27,Sandshrew,Ground,,0.6,12.0,1.0,33.3,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.","It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging.",Mouse,Sand Veil,,"['Water', 'Grass', 'Ice']",50.0,75.0,85.0,20.0,30.0,40.0,300.0,"['Sandshrew', 'Sandslash']",2 stages evolution,Sand Rush,"['027', '028']"
28,Sandslash,Ground,,1.0,29.5,1.0,29.5,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.","It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree.",Mouse,Sand Veil,,"['Water', 'Grass', 'Ice']",75.0,100.0,110.0,45.0,55.0,65.0,450.0,"['Sandshrew', 'Sandslash']",2 stages evolution,Sand Rush,"['027', '028']"
30,Nidorina,Poison,,0.8,20.0,1.0,31.3,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.",Poison Pin,Poison Point,Rivalry,"['Psychic', 'Ground']",70.0,62.0,67.0,55.0,55.0,56.0,365.0,"['Nidoran♀', 'Nidorina', 'Nidoqueen']",3 stages evolution,Hustle,"['029', '030', '031']"
31,Nidoqueen,Poison,Ground,1.3,60.0,1.0,35.5,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,Drill,Poison Point,Rivalry,"['Water', 'Psychic', 'Ice', 'Ground']",90.0,92.0,87.0,75.0,85.0,76.0,505.0,"['Nidoran♀', 'Nidorina', 'Nidoqueen']",3 stages evolution,Sheer Force,"['029', '030', '031']"
33,Nidorino,Poison,,0.9,19.5,1.0,24.1,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,Poison Pin,Poison Point,Rivalry,"['Psychic', 'Ground']",61.0,72.0,57.0,55.0,55.0,65.0,365.0,"['Nidoran♂', 'Nidorino', 'Nidoking']",3 stages evolution,Hustle,"['032', '033', '034']"
34,Nidoking,Poison,Ground,1.4,62.0,1.0,31.6,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.","Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.",Drill,Poison Point,Rivalry,"['Water', 'Psychic', 'Ice', 'Ground']",81.0,102.0,77.0,85.0,75.0,85.0,505.0,"['Nidoran♂', 'Nidorino', 'Nidoking']",3 stages evolution,Sheer Force,"['032', '033', '034']"
35,Clefairy,Fairy,,0.6,7.5,1.0,20.8,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,"Its adorable behavior and cry make it highly popular. However, this cute Pokémon is rarely found.",Fairy,Cute Charm,Magic Guard,"['Steel', 'Poison']",70.0,45.0,48.0,60.0,65.0,35.0,323.0,"['Cleffa', 'Clefairy', 'Clefable']",3 stages evolution,Friend Guard,"['173', '035', '036']"
36,Clefable,Fairy,,1.3,40.0,1.0,23.7,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.","Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places.",Fairy,Cute Charm,Magic Guard,"['Steel', 'Poison']",95.0,70.0,73.0,95.0,90.0,60.0,483.0,"['Cleffa', 'Clefairy', 'Clefable']",3 stages evolution,Unaware,"['173', '035', '036']"
37,Vulpix,Fire,,0.6,9.9,1.0,27.5,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.","As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm.",Fox,Flash Fire,,"['Water', 'Ground', 'Rock']",38.0,41.0,40.0,50.0,65.0,65.0,299.0,"['Vulpix', 'Ninetales']",2 stages evolution,Drought,"['037', '038']"
38,Ninetales,Fire,,1.1,19.9,1.0,16.4,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.","Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",Fox,Flash Fire,,"['Water', 'Ground', 'Rock']",73.0,76.0,75.0,81.0,100.0,100.0,505.0,"['Vulpix', 'Ninetales']",2 stages evolution,Drought,"['037', '038']"
39,Jigglypuff,Normal,Fairy,0.5,5.5,1.0,22.0,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.","By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy.",Balloon,Cute Charm,Competitive,"['Steel', 'Poison']",115.0,45.0,20.0,45.0,25.0,20.0,270.0,"['Igglybuff', 'Jigglypuff', 'Wigglytuff']",3 stages evolution,Friend Guard,"['174', '039', '040']"
40,Wigglytuff,Normal,Fairy,1.0,12.0,1.0,12.0,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.","It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly.",Balloon,Cute Charm,Competitive,"['Steel', 'Poison']",140.0,70.0,45.0,85.0,50.0,45.0,435.0,"['Igglybuff', 'Jigglypuff', 'Wigglytuff']",3 stages evolution,Frisk,"['174', '039', '040']"
41,Zubat,Poison,Flying,0.8,7.5,1.0,11.7,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.","Zubat live in caves, down where the sun’s light won’t reach. In the morning, they gather together to keep each other warm as they sleep.",Bat,Inner Focus,,"['Psychic', 'Electric', 'Ice', 'Rock']",40.0,45.0,35.0,30.0,40.0,55.0,245.0,"['Zubat', 'Golbat', 'Crobat']",3 stages evolution,Infiltrator,"['041', '042', '169']"
42,Golbat,Poison,Flying,1.6,55.0,1.0,21.5,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.","Its feet are tiny, but this Pokémon walks skillfully. It sneaks up on sleeping prey before sinking in its fangs and slurping up blood.",Bat,Inner Focus,,"['Psychic', 'Electric', 'Ice', 'Rock']",75.0,80.0,70.0,65.0,75.0,90.0,455.0,"['Zubat', 'Golbat', 'Crobat']",3 stages evolution,Infiltrator,"['041', '042', '169']"
43,Oddish,Grass,Poison,0.5,5.4,1.0,21.6,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.","During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",Weed,Chlorophyll,,"['Fire', 'Psychic', 'Flying', 'Ice']",45.0,50.0,55.0,75.0,65.0,30.0,320.0,"['Oddish', 'Gloom', ['Vileplume', 'Bellossom']]",3 stages evolution with 2 forms in last stage,Run Away,"['043', '044', ['045', '182']]"
44,Gloom,Grass,Poison,0.8,8.6,1.0,13.4,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,Weed,Chlorophyll,,"['Fire', 'Psychic', 'Flying', 'Ice']",60.0,65.0,70.0,85.0,75.0,40.0,395.0,"['Oddish', 'Gloom', ['Vileplume', 'Bellossom']]",3 stages evolution with 2 forms in last stage,Stench,"['043', '044', ['045', '182']]"
45,Vileplume,Grass,Poison,1.2,18.6,1.0,12.9,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",Flower,Chlorophyll,,"['Fire', 'Psychic', 'Flying', 'Ice']",75.0,80.0,85.0,110.0,90.0,50.0,490.0,"['Oddish', 'Gloom', ['Vileplume', 'Bellossom']]",3 stages evolution with 2 forms in last stage,Effect Spore,"['043', '044', ['045', '182']]"
46,Paras,Bug,Grass,0.3,5.4,1.0,60.0,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,Mushroom,Effect Spore,Dry Skin,"['Ice', 'Poison', 'Rock', 'Bug']",35.0,70.0,55.0,45.0,55.0,25.0,285.0,"['Paras', 'Parasect']",2 stages evolution,Damp,"['046', '047']"
47,Parasect,Bug,Grass,1.0,29.5,1.0,29.5,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,Mushroom,Effect Spore,Dry Skin,"['Ice', 'Poison', 'Rock', 'Bug']",60.0,95.0,80.0,60.0,80.0,30.0,405.0,"['Paras', 'Parasect']",2 stages evolution,Damp,"['046', '047']"
48,Venonat,Bug,Poison,1.0,30.0,1.0,30.0,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.","Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",Insect,Compound Eyes,Tinted Lens,"['Fire', 'Psychic', 'Flying', 'Rock']",60.0,55.0,50.0,40.0,55.0,45.0,305.0,"['Venonat', 'Venomoth']",2 stages evolution,Run Away,"['048', '049']"
49,Venomoth,Bug,Poison,1.5,12.5,1.0,5.6,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,Poison Moth,Shield Dust,Tinted Lens,"['Fire', 'Psychic', 'Flying', 'Rock']",70.0,65.0,60.0,90.0,75.0,90.0,450.0,"['Venonat', 'Venomoth']",2 stages evolution,Wonder Skin,"['048', '049']"
50,Diglett,Ground,,0.2,0.8,1.0,20.0,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.","It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",Mole,Sand Veil,Arena Trap,"['Water', 'Grass', 'Ice']",10.0,55.0,25.0,35.0,45.0,95.0,265.0,"['Diglett', 'Dugtrio']",2 stages evolution,Sand Force,"['050', '051']"
51,Dugtrio,Ground,,0.7,33.3,1.0,68.0,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.,Mole,Sand Veil,Arena Trap,"['Water', 'Grass', 'Ice']",35.0,100.0,50.0,50.0,70.0,120.0,425.0,"['Diglett', 'Dugtrio']",2 stages evolution,Sand Force,"['050', '051']"
52,Meowth,Normal,,0.4,4.2,1.0,26.3,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,Scratch Cat,Pickup,Technician,['Fighting'],40.0,45.0,35.0,40.0,40.0,90.0,290.0,"['Meowth', 'Persian']",2 stages evolution,Unnerve,"['052', '053']"
53,Persian,Normal,,1.0,32.0,1.0,32.0,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.",Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.,Classy Cat,Technician,Limber,['Fighting'],65.0,70.0,60.0,65.0,65.0,115.0,440.0,"['Meowth', 'Persian']",2 stages evolution,Unnerve,"['052', '053']"
54,Psyduck,Water,,0.8,19.6,1.0,30.6,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.","As Psyduck gets stressed out, its headache gets progressively worse. It uses intense psychic energy to overwhelm those around it.",Duck,Damp,Cloud Nine,"['Grass', 'Electric']",50.0,52.0,48.0,65.0,50.0,55.0,320.0,"['Psyduck', 'Golduck']",2 stages evolution,Swift Swim,"['054', '055']"
55,Golduck,Water,,1.7,76.6,1.0,26.5,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.",Old tales tell of Golduck punishing those that defiled its river. The guilty were dragged into the water and taken away.,Duck,Damp,Cloud Nine,"['Grass', 'Electric']",80.0,82.0,78.0,95.0,80.0,85.0,500.0,"['Psyduck', 'Golduck']",2 stages evolution,Swift Swim,"['054', '055']"
56,Mankey,Fighting,,0.5,28.0,1.0,112.0,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,Pig Monkey,Vital Spirit,Anger Point,"['Psychic', 'Flying', 'Fairy']",40.0,80.0,35.0,35.0,45.0,70.0,305.0,"['Mankey', 'Primeape']",2 stages evolution,Defiant,"['056', '057']"
57,Primeape,Fighting,,1.0,32.0,1.0,32.0,It stops being angry only when nobody else is around. To view this moment is very difficult.,It stops being angry only when nobody else is around. To view this moment is very difficult.,Pig Monkey,Vital Spirit,Anger Point,"['Psychic', 'Flying', 'Fairy']",65.0,105.0,60.0,60.0,70.0,95.0,455.0,"['Mankey', 'Primeape']",2 stages evolution,Defiant,"['056', '057']"
58,Growlithe,Fire,,0.7,19.0,1.0,38.8,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,"Extremely loyal, it will fearlessly bark at any opponent to protect its own Trainer from harm.",Puppy,Intimidate,Flash Fire,"['Water', 'Ground', 'Rock']",55.0,70.0,45.0,70.0,50.0,60.0,350.0,"['Growlithe', 'Arcanine']",2 stages evolution,Justified,"['058', '059']"
59,Arcanine,Fire,,1.9,155.0,1.0,42.9,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.,Legendary,Intimidate,Flash Fire,"['Water', 'Ground', 'Rock']",90.0,110.0,80.0,100.0,80.0,95.0,555.0,"['Growlithe', 'Arcanine']",2 stages evolution,Justified,"['058', '059']"
60,Poliwag,Water,,0.6,12.4,1.0,34.4,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.","In rivers with fast-flowing water, this Pokémon will cling to a rock by using its thick lips, which act like a suction cup.",Tadpole,Damp,Water Absorb,"['Grass', 'Electric']",40.0,50.0,40.0,40.0,40.0,90.0,300.0,"['Poliwag', 'Poliwhirl', ['Poliwrath', 'Politoed']]",3 stages evolution with 2 forms in last stage,Swift Swim,"['060', '061', ['062', '186']]"
61,Poliwhirl,Water,,1.0,20.0,1.0,20.0,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,"This Pokémon’s sweat is a slimy mucus. When captured, Poliwhirl can slither from its enemies’ grasp and escape.",Tadpole,Damp,Water Absorb,"['Grass', 'Electric']",65.0,65.0,65.0,50.0,50.0,90.0,385.0,"['Poliwag', 'Poliwhirl', ['Poliwrath', 'Politoed']]",3 stages evolution with 2 forms in last stage,Swift Swim,"['060', '061', ['062', '186']]"
62,Poliwrath,Water,Fighting,1.3,54.0,1.0,32.0,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",Poliwrath is skilled at both swimming and martial arts. It uses its well-trained arms to dish out powerful punches.,Tadpole,Damp,Water Absorb,"['Fairy', 'Grass', 'Flying', 'Psychic', 'Electric']",90.0,95.0,95.0,70.0,90.0,70.0,510.0,"['Poliwag', 'Poliwhirl', ['Poliwrath', 'Politoed']]",3 stages evolution with 2 forms in last stage,Swift Swim,"['060', '061', ['062', '186']]"
63,Abra,Psychic,,0.9,19.5,1.0,24.1,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,"Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go.",Psi,Inner Focus,Synchronize,"['Ghost', 'Dark', 'Bug']",25.0,20.0,15.0,105.0,55.0,90.0,310.0,"['Abra', 'Kadabra', 'Alakazam']",3 stages evolution,Magic Guard,"['063', '064', '065']"
64,Kadabra,Psychic,,1.3,56.5,1.0,33.4,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.","This Pokémon’s telekinesis is immensely powerful. To prepare for evolution, Kadabra stores up psychic energy in the star on its forehead.",Psi,Inner Focus,Synchronize,"['Ghost', 'Dark', 'Bug']",40.0,35.0,30.0,120.0,70.0,105.0,400.0,"['Abra', 'Kadabra', 'Alakazam']",3 stages evolution,Magic Guard,"['063', '064', '065']"
65,Alakazam,Psychic,,1.5,48.0,1.0,21.3,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",Alakazam wields potent psychic powers. It’s said that this Pokémon used these powers to create the spoons it holds.,Psi,Inner Focus,Synchronize,"['Ghost', 'Dark', 'Bug']",55.0,50.0,45.0,135.0,95.0,120.0,500.0,"['Abra', 'Kadabra', 'Alakazam']",3 stages evolution,Magic Guard,"['063', '064', '065']"
